date,time,lat,lon,alt,x_gyro,y_gyro,z_gyro,x_acc,y_acc,z_acc,north,east,down,pitch,yaw,roll,wind_speed,wind_direction
2020-06-15,17:48:50,22.9030153,120.2731351,29.613,11,-136,50,116,-6,-888,-0.17608356475830078,-0.03143119812011719,-29.613670349121094,0.025339309126138687,1.5699518918991089,-0.05623374506831169,0,0
2020-06-15,17:48:53,22.9030166,120.2731366,24.886,-80,-187,250,109,30,-971,-0.029726028442382812,0.115264892578125,-24.88616180419922,0.02924918755888939,1.502975344657898,-0.028155263513326645,0,0
2020-06-15,17:48:56,22.9030173,120.2731369,20.849,-231,-224,12,14,10,-990,0.05260181427001953,0.14731597900390625,-20.849504470825195,0.028289690613746643,1.5301973819732666,-0.033431459218263626,0,0
2020-06-15,17:48:59,22.9030161,120.2731359,16.157,-82,-60,-25,60,72,-1002,-0.07848358154296875,0.04876708984375,-16.15777015686035,0.045604441314935684,1.5092668533325195,-0.030435726046562195,0,0
2020-06-15,17:49:02,22.9030152,120.2731354,11.952,-54,92,57,36,96,-960,-0.18515777587890625,-0.0065155029296875,-11.952215194702148,0.03654611110687256,1.5731216669082642,-0.07410961389541626,0,0
2020-06-15,17:49:05,22.9030166,120.2731354,9.213,-49,-55,-75,47,60,-995,-0.023557662963867188,-0.0014286041259765625,-9.2130126953125,0.012294096872210503,1.4932054281234741,-0.02334132045507431,0,0
2020-06-15,17:49:08,22.9030161,120.2731343,7.575,74,-31,-3,-31,-69,-1034,-0.08551692962646484,-0.12136459350585938,-7.5759501457214355,-0.029309477657079697,1.5418699979782104,-0.0355132520198822,0,0
2020-06-15,17:49:11,22.9030165,120.273137,6.148,4,-39,26,20,59,-1006,-0.03659343719482422,0.15510177612304688,-6.137577056884766,-0.021116206422448158,1.5101679563522339,-0.02452559396624565,0,0
2020-06-15,17:49:14,22.9030163,120.2731376,4.623,0,-10,6,-6,67,-978,-0.05948829650878906,0.21652984619140625,-4.623717784881592,0.024032030254602432,1.488152265548706,-0.019635256379842758,0,0
2020-06-15,17:49:17,22.9030151,120.2731342,3.165,157,-6,-15,-31,12,-1036,-0.20013141632080078,-0.12496757507324219,-3.1653525829315186,-0.011403189972043037,1.4916627407073975,-0.05615469440817833,0,0
2020-06-15,17:49:20,22.9030163,120.2731368,1.525,10,52,-112,103,121,-970,-0.061575889587402344,0.13965797424316406,-1.5257682800292969,-0.0007407646626234055,1.553141713142395,-0.03916328772902489,0,0
2020-06-15,17:49:23,22.9030164,120.2731363,0.188,74,126,60,41,-62,-1008,-0.050571441650390625,0.08471870422363281,-0.17619872093200684,0.018359769135713577,1.5863392353057861,-0.019277971237897873,0,0
2020-06-15,17:54:12,22.9030479,120.2731223,-0.038,2,-1,0,5,-14,-999,0.08542156219482422,-0.04291534423828125,0.03882026672363281,-0.011557345278561115,-1.2224178314208984,0.028613388538360596,0,0
2020-06-15,17:54:15,22.9030467,120.2731226,-0.122,13,0,6,16,-12,-996,-0.0459136962890625,-0.020023345947265625,0.12270325422286987,-0.01094859465956688,-1.2228984832763672,0.0281500443816185,0,0
2020-06-15,17:54:18,22.9030239,120.2731182,1.042,41,22,-1207,14,-53,-1057,-2.5909929275512695,-0.46887969970703125,-1.0429482460021973,-0.06142246723175049,-1.9610813856124878,-0.06883962452411652,0,0
2020-06-15,17:54:21,22.9029313,120.273099,6.829,-89,-38,76,-48,42,-996,-12.895124435424805,-2.432842254638672,-6.829510688781738,-0.1179533302783966,-3.041712999343872,0.03726040571928024,0,0
2020-06-15,17:54:24,22.9028287,120.2730835,12.329,45,58,20,0,-59,-1013,-24.33186149597168,-4.026287078857422,-12.329447746276855,-0.06180543079972267,-2.999467611312866,0.06435229629278183,0,0
2020-06-15,17:54:27,22.9027203,120.2730637,18.045,41,14,-25,-114,-45,-1024,-36.393306732177734,-6.059812545776367,-18.04531478881836,-0.09077449887990952,-2.972919464111328,0.06464404612779617,0,0
2020-06-15,17:54:30,22.9026529,120.2730495,20.164,41,103,-150,9,-109,-1037,-43.89584732055664,-7.514291763305664,-20.164806365966797,0.05966901034116745,-2.6903908252716064,0.17572546005249023,0,0
